unit_code,category_cd,School_Name,Lea_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_lateral_teach_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
810340,H,East Rutherford High School,Rutherford County Schools,0.958,0.149,0.23399999999999999,0.617,47.0,6.0,0.298,0.14800000000000002,0.042,0.932,0.19,0.19,0.62,41.0,8.0,0.282,0.122,0.062,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rutherford County Schools,East Rutherford High School,ENROLL,ALL,All Students (Total or Subtotal,86.0,317.0,51362.0,63.7037037037037,56.4056939501779,51.988460954501704
810384,H,R-S Central High School,Rutherford County Schools,0.9490000000000001,0.203,0.153,0.644,59.0,14.0,0.28800000000000003,0.132,0.051,0.932,0.19,0.19,0.62,41.0,8.0,0.282,0.122,0.062,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rutherford County Schools,R-S Central High School,ENROLL,ALL,All Students (Total or Subtotal,94.0,317.0,51362.0,54.97076023391811,56.4056939501779,51.988460954501704
810385,H,Rutherford Early College High School,Rutherford County Schools,1.0,0.2,0.2,0.6,5.0,2.0,0.4,0.0,,0.932,0.19,0.19,0.62,41.0,8.0,0.282,0.122,0.062,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Rutherford County Schools,Rutherford Early College High School,ENROLL,ALL,All Students (Total or Subtotal,20.0,317.0,51362.0,55.5555555555556,56.4056939501779,51.988460954501704
810386,T,Rutherford Opportunity Center,Rutherford County Schools,0.978,0.0,0.182,0.818,12.0,4.0,0.33299999999999996,0.281,0.022000000000000002,0.9740000000000001,0.0,0.182,0.818,12.0,4.0,0.33299999999999996,0.25,0.017,0.852,0.215,0.237,0.5479999999999999,24.0,2.0,0.312,0.16699999999999998,0.004,0.10099999999999999,Rutherford County Schools,Rutherford Opportunity Center,ENROLL,ALL,All Students (Total or Subtotal,18.0,317.0,51362.0,26.0869565217391,56.4056939501779,51.988460954501704
820324,H,Sampson Early College High,Sampson County Schools,1.0,0.0,0.4,0.6,10.0,0.0,0.2,0.364,,0.893,0.20199999999999999,0.319,0.479,33.0,2.0,0.19,0.139,0.1,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Sampson County Schools,Sampson Early College High,ENROLL,ALL,All Students (Total or Subtotal,28.0,277.0,51362.0,68.2926829268293,50.639853747714795,51.988460954501704
820348,H,Hobbton High,Sampson County Schools,0.8270000000000001,0.257,0.34299999999999997,0.4,35.0,3.0,0.171,0.14300000000000002,0.17300000000000001,0.893,0.20199999999999999,0.319,0.479,33.0,2.0,0.19,0.139,0.1,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Sampson County Schools,Hobbton High,ENROLL,ALL,All Students (Total or Subtotal,55.0,277.0,51362.0,48.2456140350877,50.639853747714795,51.988460954501704
820349,H,Lakewood High,Sampson County Schools,0.883,0.14300000000000002,0.34299999999999997,0.514,35.0,1.0,0.14300000000000002,0.055999999999999994,0.11699999999999999,0.893,0.20199999999999999,0.319,0.479,33.0,2.0,0.19,0.139,0.1,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Sampson County Schools,Lakewood High,ENROLL,ALL,All Students (Total or Subtotal,55.0,277.0,51362.0,47.008547008547,50.639853747714795,51.988460954501704
820352,H,Midway High,Sampson County Schools,0.93,0.159,0.341,0.5,45.0,4.0,0.267,0.154,0.048,0.893,0.20199999999999999,0.319,0.479,33.0,2.0,0.19,0.139,0.1,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Sampson County Schools,Midway High,ENROLL,ALL,All Students (Total or Subtotal,82.0,277.0,51362.0,53.24675324675321,50.639853747714795,51.988460954501704
820388,H,Union High,Sampson County Schools,0.893,0.308,0.231,0.462,38.0,0.0,0.158,0.132,0.107,0.893,0.20199999999999999,0.319,0.479,33.0,2.0,0.19,0.139,0.1,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Sampson County Schools,Union High,ENROLL,ALL,All Students (Total or Subtotal,57.0,277.0,51362.0,47.1074380165289,50.639853747714795,51.988460954501704
821308,H,Clinton High,Clinton City Schools,0.8390000000000001,0.214,0.196,0.589,56.0,4.0,0.107,0.13,0.161,0.8390000000000001,0.214,0.196,0.589,56.0,4.0,0.107,0.13,0.161,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Clinton City Schools,Clinton High,ENROLL,ALL,All Students (Total or Subtotal,113.0,113.0,51362.0,64.2045454545455,64.2045454545455,51.988460954501704
830343,H,Scotland High School,Scotland County Schools,0.866,0.23800000000000002,0.257,0.505,101.0,8.0,0.297,0.163,0.124,0.858,0.23600000000000002,0.282,0.48200000000000004,55.0,4.0,0.327,0.159,0.132,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Scotland County Schools,Scotland High School,ENROLL,ALL,All Students (Total or Subtotal,177.0,202.0,51362.0,51.008645533141205,51.2690355329949,51.988460954501704
830348,H,Scotland Early College High,Scotland County Schools,0.778,0.222,0.556,0.222,9.0,0.0,0.667,0.111,0.222,0.858,0.23600000000000002,0.282,0.48200000000000004,55.0,4.0,0.327,0.159,0.132,0.898,0.21,0.244,0.546,53.0,7.0,0.258,0.145,0.002,0.094,Scotland County Schools,Scotland Early College High,ENROLL,ALL,All Students (Total or Subtotal,25.0,202.0,51362.0,62.5,51.2690355329949,51.988460954501704
